Code,Type,Taille,Clé Prim,Obligatoire
AER_ID,Auto-incrément,,O,O
AER_IMA,Varchar,100,N,O
AER_TYPE,Varchar,100,N,O
ANNU_DTE,Date,,N,O
ANNU_HEU,Time,,N,O
ANNU_ID,Auto-increment,,O,O
ANNU_MOTIF,Varchar,1000,N,O
COTI_DTE_EMI,Date,,N,O
COTI_DTE_PAI,Date,,N,O
COTI_ID,Auto-increment,,O,O
COTI_MONT,Decimal,,N,O
IND_DES,Varchar,1000,N,O
IND_DTE_DEB,Date,,N,O
IND_DTE_FIN,Date,,N,O
IND_HEU_DEB,Time,,N,O
IND_HEU_FIN,Time,,N,O
IND_ID,Auto-increment,,O,O
LOC_CP,Varchar,10,N,O
LOC_ID,Auto-increment,,O,O
LOC_NOM,Varchar,70,N,O
MBR_ADM,Bool,,N,O
MBR_ADR_MAIL,Varchar,50,N,O
MBR_DTE_INS,Date,,N,O
MBR_DTE_NAI,Date,,N,O
MBR_ID,Auto-increment,,O,O
MBR_NOM,Varchar,60,N,O
MBR_NOM_RES,Varchar,80,N,O
MBR_NUM_BTE,Varchar,5,N,O
MBR_NUM_GSM,Varchar,10,N,O
MBR_NUM_IMM,Varchar,5,N,N
MBR_NUM_MAIL,Varchar,50,N,O
MBR_NUM_RES,Varchar,80,N,O
MBR_NUM_TEL,Varchar,10,N,N
MBR_PRN,Varchar,50,N,O
MBR_RUE,Varchar,100,N,O
MBR_SEX,Char,1,N,N
MBR_USR_PSD,Varchar,50,N,N
MBR_USR_PWD,Varchar,50,N,N
PIL_LIC_DTE_EXP,Date,,N,O
PIL_LIC_DTE_OBT,Date,,N,O
PIL_NUM_LIC,Varchar,15,N,O
PIL_LIC_PAYS,Char,2,N,O
PIST_DISPO,Bool,,N,O
PIST_ID,Auto-increment,,O,O
RES_DTE,Date,,N,O
RES_HEU_DEB,Time,,N,O
RES_HEU_FIN,Time,,N,O
RES_ID,Auto-increment,,O,O
RET_DTE_DEB,Date,,N,O
RET_DTE_FIN,Date,,N,O
RET_ID,Auto-increment,,O,O
RET_MOTIF,Varchar,1000,N,O
TYP_DES,Varchar,1000,N,O
TYP_ID,Auto-increment,,O,O
TYP_NOM,Varchar,50,N,O
